image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ISIC0034524,3.6206902E-08,2.2716775E-07,4.746136E-08,1.14034044E-07,1.01689736E-07,1.0303296E-07,4.007242E-08
ISIC0034525,1.3240707E-10,3.9846249E-10,3.907423E-09,2.0093023E-09,8.2353924E-10,1.8439518E-09,1.8041696E-09
ISIC0034526,9.6338756E-11,5.134655E-12,5.8980603E-12,1.2783082E-10,7.994724E-10,1.3807545E-11,1.2156051E-11
ISIC0034527,4.8787086E-08,1.3154171E-07,8.377243E-11,7.2748096E-10,6.2341456E-08,4.3951592E-10,1.9728445E-10
ISIC0034528,3.566944E-08,5.6012654E-05,3.775709E-08,3.902055E-08,1.7189241E-07,3.480045E-08,2.0525826E-08
ISIC0034529,0.00039681687,0.00056724134,3.5118326E-06,8.546966E-06,6.3002103E-06,4.6525147E-06,8.30454E-06
ISIC0034530,6.051949E-12,4.77415E-06,7.1472613E-13,3.2339466E-13,1.9359772E-11,1.4450344E-12,4.1338873E-11
ISIC0034531,7.1307453E-09,7.095088E-10,1.3032694E-10,1.9320091E-10,1.6790588E-07,1.0320044E-09,3.1297536E-09
ISIC0034532,7.1161944E-06,0.0150158545,1.1518523E-06,1.5167183E-06,6.7997894E-07,1.607204E-06,6.3335665E-06
ISIC0034533,6.806323E-06,0.053233407,2.829694E-06,2.2226513E-06,7.920835E-06,2.9231956E-06,7.406094E-06
ISIC0034534,3.755076E-06,0.725765,1.8021477E-05,7.4677614E-06,4.145618E-06,9.9826475E-06,1.2913837E-05
ISIC0034535,2.3817897E-07,4.4036554E-08,2.175555E-09,4.902895E-09,8.8225863E-07,1.1423928E-08,1.2866384E-08
ISIC0034536,1.9950635E-11,1.7261654E-11,2.5509428E-10,6.403609E-10,1.1914142E-10,1.03711664E-10,6.667466E-11
ISIC0034537,0.0001351209,0.0001414456,2.040437E-06,4.574434E-06,1.5508733E-06,3.6151157E-06,8.958643E-06
ISIC0034538,1.06170496E-10,2.9736737E-11,2.1586403E-10,8.962101E-11,1.0039973E-09,8.9282726E-10,1.104414E-09
ISIC0034539,3.7796177E-10,6.632613E-07,1.0850676E-11,1.2890265E-11,3.356536E-10,2.0370336E-11,2.6399777E-10
ISIC0034540,3.2138005E-06,0.0009791296,1.9908211E-07,3.8043362E-07,5.2092213E-07,2.2343585E-07,1.5936795E-06
ISIC0034541,2.588216E-07,0.004992208,2.9243665E-08,5.9243533E-08,3.6458246E-08,5.390071E-08,5.2268973E-07
ISIC0034542,6.273542E-09,1.7883387E-08,1.4521609E-07,6.836691E-08,2.6612089E-08,2.796919E-08,1.17461445E-08
ISIC0034543,7.282493E-08,0.00035046117,4.2778888E-07,1.8003453E-07,3.4770105E-07,2.2501268E-07,2.0123875E-07
ISIC0034544,4.3958253E-12,1.35326845E-11,8.245271E-12,5.6085E-11,2.0216863E-11,4.753836E-12,3.0943245E-12
ISIC0034546,7.750066E-07,1.7210403E-05,1.4826364E-07,1.5069472E-07,2.3965367E-06,1.6753799E-07,2.0336269E-07
ISIC0034547,2.0425593E-10,4.3399977E-09,1.822436E-11,1.5124325E-11,2.556931E-09,1.6408293E-10,5.719863E-10
ISIC0034548,3.115584E-09,8.321002E-10,2.1230802E-09,4.3775334E-09,2.2043228E-08,5.052358E-09,6.2772405E-09
ISIC0034549,4.865125E-11,1.5973792E-12,7.390699E-13,5.4922933E-12,2.3064238E-13,1.5442104E-12,4.8834445E-13
ISIC0034551,1.1811424E-09,1.0279878E-07,1.6562254E-08,2.8483322E-08,6.295514E-09,1.6477337E-08,3.5446155E-09
ISIC0034552,4.8980365E-08,2.2741104E-05,1.8153857E-08,1.124109E-08,2.002696E-07,5.067957E-08,1.870091E-07
ISIC0034553,0.00028121273,0.0011386946,4.599263E-06,8.533673E-06,1.4592913E-06,5.3441613E-06,7.0992082E-06
ISIC0034554,5.453571E-10,7.2772793E-10,3.1790337E-09,3.240189E-09,2.3721425E-09,1.5395631E-09,2.7810652E-09
ISIC0034555,4.360484E-09,0.00024779004,3.1153952E-08,6.9095756E-09,2.5397695E-08,2.9213338E-08,5.5783113E-07
ISIC0034556,1.7222025E-07,0.093247995,6.957093E-08,7.572321E-08,4.9266607E-08,1.4135614E-07,3.7842278E-07
ISIC0034557,3.3834457E-08,0.062057257,1.4114097E-08,1.2503753E-08,1.2116834E-08,3.0894125E-08,1.1173163E-07
ISIC0034558,3.088612E-07,0.0003511248,9.931094E-09,1.4961493E-08,7.544065E-08,1.514288E-08,7.152884E-08
ISIC0034559,2.8892526E-07,0.50341725,3.4425537E-07,2.0745297E-07,9.74918E-08,3.90687E-07,7.014133E-07
ISIC0034560,0.0008051839,0.19285983,6.370801E-05,3.7208913E-05,7.047879E-06,4.3103933E-05,2.8707362E-05
ISIC0034562,1.8680566E-05,0.0039234124,1.565049E-06,3.2431606E-06,1.1075576E-06,1.8865112E-06,1.3585935E-05
ISIC0034563,9.27447E-05,0.0007584355,4.818753E-06,9.612544E-06,2.761146E-06,5.2211067E-06,2.144683E-05
ISIC0034564,1.5831675E-10,6.535622E-08,1.2731284E-09,4.274595E-09,9.665759E-10,3.6472838E-09,2.6047559E-10
ISIC0034565,5.7033753E-06,5.2409664E-06,8.503483E-08,8.694186E-08,2.5490522E-06,8.1690835E-08,5.7189516E-07
ISIC0034566,4.2139945E-09,0.0064115296,2.6084624E-08,7.776903E-09,1.7497632E-08,1.5468814E-08,1.2302617E-07
ISIC0034567,1.1221179E-06,0.86538804,1.2631996E-06,8.0463906E-07,2.9467245E-07,8.622536E-07,5.563653E-07
ISIC0034568,4.555999E-08,0.035353445,1.0099403E-08,1.28835005E-08,1.5242156E-08,2.1916367E-08,9.4492655E-08
ISIC0034569,1.1727014E-10,2.9258757E-10,9.229313E-09,1.2673621E-09,2.2542798E-10,5.669151E-10,1.091162E-09
ISIC0034570,3.7081654E-06,1.1124849E-07,2.9532902E-08,7.7049144E-08,1.2932408E-05,2.628954E-07,4.3147352E-07
ISIC0034571,4.947797E-10,8.92631E-11,9.0042046E-10,5.1768794E-09,1.7438316E-09,4.917943E-10,1.272021E-10
ISIC0034572,8.906253E-07,0.00011254382,4.395289E-08,7.4705234E-08,2.994179E-07,7.853464E-08,4.2207134E-07
ISIC0034573,7.981002E-06,0.00064971676,3.516179E-06,2.5415054E-06,1.6021026E-05,3.7566092E-06,1.8004626E-05
ISIC0034574,1.933326E-09,1.6753825E-10,8.7886964E-10,1.2731187E-09,4.3746972E-08,8.746109E-09,1.03851905E-08
ISIC0034575,4.5326664E-07,2.6661455E-06,6.1650344E-06,2.998619E-06,1.5227228E-06,1.4019582E-06,9.2549186E-07
ISIC0034576,9.5103684E-07,0.5829831,2.2094239E-06,1.0644636E-06,8.38097E-07,1.1011048E-06,7.283541E-07
ISIC0034577,1.3840437E-07,0.0003361686,5.5645495E-07,2.1756294E-07,6.113881E-07,3.0958222E-07,3.5933232E-07
ISIC0034578,4.110622E-11,2.5066458E-11,7.349851E-12,6.8639985E-12,2.19971E-09,9.999778E-11,3.379463E-10
ISIC0034579,2.8942132E-08,1.7207899E-08,1.4989362E-07,1.8116195E-07,5.8851377E-08,4.492506E-08,4.9314178E-08
ISIC0034580,8.307465E-07,8.177883E-05,1.671063E-08,4.1898407E-08,3.6336207E-08,1.6561337E-08,1.7135686E-07
ISIC0034581,5.526008E-10,1.6887554E-09,1.3853274E-09,7.501046E-09,3.6960601E-09,2.0520647E-09,6.7910283E-10
ISIC0034582,2.318537E-08,0.06396079,3.951652E-08,2.8705788E-08,2.628881E-08,4.934325E-08,3.191503E-07
ISIC0034584,4.000135E-05,0.13365728,4.6081973E-06,2.5263175E-06,4.387874E-06,2.4993533E-06,2.161524E-06
ISIC0034585,2.1062096E-08,8.501356E-07,8.523163E-08,1.1202248E-07,1.2738364E-07,6.7762585E-08,5.1383395E-08
